countyFips,countyName,year,observedEdRate,summerAvgMax,heatwaveDays,consecutiveHotDays,warmNightCount,tailPercentileTemp,elderlyPct,povertyPct,acCoverage,treeCanopy
06073,San Diego,2022,9.97,85.43583509513742,815,2,284,111.02,14.651574717580718,10.297349211980055,73.38,27.14
06073,San Diego,2023,7.26,81.58655717255718,672,0,185,113.0,15.04324685586798,10.070787521072068,75.66,26.31
06073,San Diego,2024,13.71,85.8652772887324,954,5,286,114.08,15.43839740888246,9.996703938914624,74.64,24.24
06075,San Francisco,2020,5.85,68.28023952095808,1,1,0,92.0192,15.79327011010718,9.959601455902256,79.9,28.07
06075,San Francisco,2021,3.23,64.85432692307693,0,0,0,82.94,15.9311401690431,10.147898278504226,77.87,27.31
06075,San Francisco,2022,3.46,68.45885245901638,1,1,0,91.751,16.699528574584388,10.322595048858098,75.76,27.44
06075,San Francisco,2023,2.89,64.66874418604651,0,0,0,82.1083999999999,17.17103839315287,10.4188463520586,75.55,27.91
06075,San Francisco,2024,4.16,64.59598130841123,0,0,0,85.8596,17.646810842713208,10.97580805434606,80.08,28.34
06077,San Joaquin,2020,17.08,93.8748051948052,101,13,4,109.67,12.76571116861691,13.396353186139182,71.39,21.22
06077,San Joaquin,2021,18.58,92.2553781512605,96,8,0,106.6604,12.642240272956135,13.216257068262369,68.53,22.62
06077,San Joaquin,2022,23.34,93.72444444444444,119,13,5,111.92,13.011052736241812,12.618209110328504,68.23,20.42
06077,San Joaquin,2023,24.77,91.00901639344262,83,16,0,107.573,13.268843914779485,12.326775173478822,70.99,21.57
06077,San Joaquin,2024,30.63,94.67762295081968,124,16,6,109.553,13.511276328364277,12.222606837285252,67.14,24.16
06079,San Luis Obispo,2020,12.56,87.88572992700729,338,8,36,111.02,20.06958873271343,10.458485684047332,70.26,23.74
06079,San Luis Obispo,2021,12.68,87.73479927007298,365,5,34,109.04,20.240406548054786,11.343808240590445,72.56,24.95
06079,San Luis Obispo,2022,19.2,89.10065573770493,372,9,48,109.94,21.099207701482364,11.972510933151588,71.01,23.61
